geo_id,tract_name,labor_force_population,unemployment_rate,mean_commute_minutes,median_household_income,per_capita_income,poverty_rate,year
1400000US17031191000,"Census Tract 1910, Cook County, Illinois",1955,8.5,40.1,50096,19318,26,2018
1400000US17031191100,"Census Tract 1911, Cook County, Illinois",5462,4.4,39.1,50666,16475,16.9,2018
1400000US17031191200,"Census Tract 1912, Cook County, Illinois",2892,5.1,39.4,50863,16299,22.7,2018
1400000US17031191301,"Census Tract 1913.01, Cook County, Illinois",4208,3.5,35.4,49946,17417,18.4,2018
1400000US17031191302,"Census Tract 1913.02, Cook County, Illinois",3912,9.7,35.2,46000,17698,14.2,2018
1400000US17031200100,"Census Tract 2001, Cook County, Illinois",2952,4.9,39.2,41131,23307,7.9,2018
1400000US17031200200,"Census Tract 2002, Cook County, Illinois",4050,5.4,37.8,44077,21421,21.4,2018
1400000US17031200300,"Census Tract 2003, Cook County, Illinois",1510,7.4,38.3,38571,18411,32.6,2018
1400000US17031200401,"Census Tract 2004.01, Cook County, Illinois",2810,9.6,32.3,42109,16104,18.5,2018
1400000US17031200402,"Census Tract 2004.02, Cook County, Illinois",3280,5.1,38.4,52482,21289,19.3,2018
1400000US17031210100,"Census Tract 2101, Cook County, Illinois",2921,4,39.4,70234,34329,13.6,2018
1400000US17031210400,"Census Tract 2104, Cook County, Illinois",2256,6.5,34.8,51141,26421,23.6,2018
1400000US17031210501,"Census Tract 2105.01, Cook County, Illinois",2670,8.8,37.5,47917,24083,21.7,2018
1400000US17031210502,"Census Tract 2105.02, Cook County, Illinois",3628,4.6,35.5,52908,22759,30.2,2018
1400000US17031210601,"Census Tract 2106.01, Cook County, Illinois",2287,6,37.1,66994,29277,12.4,2018
1400000US17031210602,"Census Tract 2106.02, Cook County, Illinois",3404,3.3,33.5,59408,33264,15.1,2018
1400000US17031210700,"Census Tract 2107, Cook County, Illinois",3543,6.2,33.8,64569,28737,22.8,2018
1400000US17031210800,"Census Tract 2108, Cook County, Illinois",932,2.1,36.6,61739,42864,5.5,2018
1400000US17031210900,"Census Tract 2109, Cook County, Illinois",2453,0.9,33.5,72366,36346,16,2018
1400000US17031220300,"Census Tract 2203, Cook County, Illinois",1867,4.5,31.8,88942,49273,10.7,2018
1400000US17031220400,"Census Tract 2204, Cook County, Illinois",2392,3.8,31.4,95333,46800,6,2018
1400000US17031220500,"Census Tract 2205, Cook County, Illinois",2379,1.4,31.8,91389,48991,8.5,2018
1400000US17031220601,"Census Tract 2206.01, Cook County, Illinois",1385,2.7,35.2,75438,36787,12.3,2018
1400000US17031220602,"Census Tract 2206.02, Cook County, Illinois",4390,6.5,35.6,46276,33342,17.1,2018
1400000US17031220701,"Census Tract 2207.01, Cook County, Illinois",2523,4.9,35.9,65417,29922,13.5,2018
1400000US17031220702,"Census Tract 2207.02, Cook County, Illinois",3063,4.5,36.6,61733,27876,13.8,2018
1400000US17031220901,"Census Tract 2209.01, Cook County, Illinois",2367,7.5,31.1,47778,22549,27.2,2018
1400000US17031220902,"Census Tract 2209.02, Cook County, Illinois",2352,4.3,31.7,56667,23291,13.7,2018
1400000US17031221000,"Census Tract 2210, Cook County, Illinois",2113,8.9,37.9,47344,25501,25.6,2018
1400000US17031221100,"Census Tract 2211, Cook County, Illinois",4516,6.1,32.7,55194,27336,20.4,2018
1400000US17031221200,"Census Tract 2212, Cook County, Illinois",2565,4.6,31.8,91354,59686,9.9,2018
